Location,   Clay_surface,   Clay_deep,      Silt_surface,   Silt_deep,      Sand_surface,   Sand_deep
SL01,       66.8,           73.3,           21.2,           18.7,           12,             8
SL02,       56.6,           73.8,           32.4,           17.2,           11,             9
SL03,       60.5,           76.8,           30.5,           16.2,            9,             7
SL04,       62.3,           75.5,           28.7,           17.5,            9,             7
SL05,       60.6,           76.5,           29.4,           15.5,           10,             8
SL06,       59.0,           72.3,           30.0,           18.7,           11,             9
SL07,       56.6,           71.6,           31.4,           19.4,           12,             9
SL08,       61.3,           72.0,           28.7,           20.0,           10,             8
SL09,       60.9,           75.4,           29.1,           18.6,           10,             6
SL10,       66.5,           74.1,           32.5,           17.9,           11,             8
SL11,       57.2,           72.0,           30.8,           19.0,           12,             9
SL12,       55.9,           71.6,           34.1,           20.4,           10,             8
SL13,       60.4,           73.3,           29.6,           18.7,           10,             8
SL14,       59.2,           72.7,           29.8,           19.3,           11,             8
SL15,       58.2,           72.9,           29.8,           18.1,           12,             9
SL16,       56.9,           73.3,           31.1,           19.7,           12,             7
SL17,       57.3,           77.5,           32.7,           16.5,           10,             6
SL18,       60.5,           73.4,           28.5,           17.6,           11,             9
SL19,       59.4,           71.4,           29.6,           19.6,           11,             9
SL20,       60.3,           73.3,           28.7,           18.7,           11,             8
SL21,       63.6,           76.0,           27.4,           17.0,            9,             7
SL22,       55.9,           73.7,           32.1,           19.3,           12,             7
SL23,       59.5,           74.5,           30.5,           18.5,           10,             7
SL24,       63.2,           74.0,           26.8,           18.0,           10,             8
SL25,       59.8,           75.1,           29.2,           17.9,           11,             7
